link_id,from_node_id,to_node_id,dir_flag,geometry,length
21,136,9299,1,"LINESTRING (-82.3734458 29.6023993, -82.373651 29.60284, -82.373689 29.602939, -82.373704 29.603043, -82.373698 29.603148, -82.373669 29.603249, -82.373619 29.603344, -82.373548 29.603429, -82.373479 29.603483, -82.37337 29.603532, -82.373311 29.603547, -82.373249 29.603554, -82.373155 29.603554, -82.373034 29.603531, -82.372949 29.603496, -82.372873 29.603448, -82.3726717 29.6032451, -82.3726369 29.6032049, -82.372604 29.6031526, -82.372574 29.6031031, -82.3725475 29.6030468)",249.7583228
22,141,9543,1,"LINESTRING (-82.3611396 29.5880136, -82.3615496 29.588901, -82.3616489 29.5891272)",133.2633497
23,9111,147,1,"LINESTRING (-82.5124725 29.8013225, -82.5123642 29.8014837, -82.5122874 29.8019485, -82.5122627 29.8020747, -82.5122049 29.8022904, -82.5121805 29.8024157)",125.9488353
24,147,148,1,"LINESTRING (-82.5121805 29.8024157, -82.5121779 29.8025, -82.5121965 29.8026543, -82.5122386 29.8027895, -82.5122952 29.8029253, -82.5128885 29.8038978, -82.5129859 29.8040677, -82.5130621 29.804239, -82.5131378 29.8044247, -82.513187 29.804558, -82.513231 29.804769, -82.513265 29.805025, -82.513282 29.805283, -82.5133005 29.8054848)",363.3403445
25,9304,149,1,"LINESTRING (-82.3869471 29.6167434, -82.3869136 29.6166696, -82.3869078 29.6166569, -82.3868492 29.6165793, -82.3864184 29.6161824)",81.34299193
26,152,151,1,"LINESTRING (-82.419885 29.659165, -82.419602 29.658144, -82.41949 29.657965, -82.419432 29.657901, -82.419272 29.657778, -82.419169 29.657718, -82.419058 29.657669, -82.418941 29.657631, -82.417914 29.65743, -82.417681 29.657361, -82.417511 29.657296, -82.417348 29.657218, -82.417201 29.65714, -82.417064 29.657052, -82.416654 29.6567722)",450.129442
27,153,9544,1,"LINESTRING (-82.364353 29.591897, -82.3642413 29.5915958, -82.3641865 29.5914516, -82.3641492 29.5912937, -82.3641378 29.5911275)",88.5151497
28,158,9557,1,"LINESTRING (-82.4188153 29.6592969, -82.41861 29.658932, -82.41853 29.658718, -82.418518 29.658543, -82.418544 29.658405, -82.41861 29.658256, -82.418662 29.658181, -82.418726 29.658112, -82.418801 29.658053, -82.4189 29.658001, -82.419014 29.657983, -82.419203 29.657984, -82.419378 29.65805, -82.419519 29.658171, -82.419578 29.658276, -82.419753 29.659012, -82.4197488 29.6593047)",359.675925
29,9555,163,1,"LINESTRING (-82.4174507 29.6601852, -82.4174989 29.6602601, -82.4175884 29.6603754, -82.4177115 29.6604962, -82.4178783 29.6606166, -82.4185788 29.6610257, -82.4191331 29.6613401, -82.420156 29.661925, -82.4208117 29.6623267, -82.4211218 29.6625667, -82.4214081 29.6628249, -82.4217627 29.6631364)",533.9603995
30,4779,191,1,"LINESTRING (-80.895083 28.7749617, -80.895066 28.7744922, -80.8949667 28.7738246, -80.8949347 28.7731426, -80.8949048 28.7721523, -80.8948759 28.7708883)",453.7268369
31,191,10482,1,"LINESTRING (-80.8948759 28.7708883, -80.8946979 28.7707151, -80.8946514 28.7706912)",31.17512754
32,10482,10480,1,"LINESTRING (-80.8946514 28.7706912, -80.8945238 28.7707015)",12.4895715
