name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,is_zone
,5969,1429006118,,95,,primary,0,-112.1690473,33.5072464,,,,FALSE
,5970,2590128741,traffic_signals,110,signal,primary,0,-112.168959,33.4985829,,,,FALSE
,5971,4346529915,,110,,primary,0,-112.168972,33.4974545,,,,FALSE
,5972,2590147218,traffic_signals,110,signal,primary,0,-112.168833,33.4950269,,,,FALSE
,5973,8432909867,,110,,primary,0,-112.1688257,33.4967234,,,,FALSE
,5974,2590149703,,110,,primary,0,-112.1689162,33.4939404,,,,FALSE
,5975,41590527,,110,,primary,0,-112.1689497,33.4881427,,,,FALSE
,5976,4346517242,,110,,primary,0,-112.1689608,33.4869281,,,,FALSE
,5977,2590172748,,110,,primary,0,-112.1689511,33.4826678,,,,FALSE
,5978,4346552087,,110,,primary,0,-112.1690571,33.4651795,,,,FALSE
,5979,805193915,traffic_signals,110,signal,primary,0,-112.169137,33.4659628,,,,FALSE
,5980,5156694128,,110,,primary,0,-112.1692177,33.4653402,,,,FALSE
,5981,41590473,,110,,primary,0,-112.1691841,33.4568028,,,,FALSE
,5982,4346552076,,125,,primary,0,-112.1691367,33.4520962,,,,FALSE
,5983,5425972096,,110,,primary,0,-112.1690369,33.461563,,,,FALSE
,5984,258430242,traffic_signals,110,signal,primary,0,-112.169047,33.4621842,,,,FALSE
,5985,4346552083,,110,,primary,0,-112.1692498,33.4608113,,,,FALSE
,5986,5157006682,,125,,primary,0,-112.1693413,33.4231795,,,,FALSE
,5987,41653641,traffic_signals,125,signal,primary,0,-112.169342,33.4222393,,,,FALSE
,5988,2591121771,,125,,primary,0,-112.1693308,33.4145873,,,,FALSE
,5989,2591123538,,125,,primary,0,-112.1693642,33.4132522,,,,FALSE
,5990,2591127239,traffic_signals,125,signal,primary,0,-112.1691311,33.4115198,,,,FALSE
,5991,2591123533,,125,,primary,0,-112.1691993,33.4124996,,,,FALSE
,5992,2591123537,,125,,primary,0,-112.1692223,33.4129304,,,,FALSE
,5993,2591123532,,125,,primary,0,-112.1693482,33.412926,,,,FALSE
,5994,2591128147,,125,,primary,0,-112.1690067,33.4095632,,,,FALSE
,5995,4674115178,traffic_signals,140,signal,primary,0,-112.16853,33.4033794,,,,FALSE
