name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East Lemon Street,490,1123252014.0,301,27,1,210.09,1,30,1000.0,residential,6,"LINESTRING (-111.9271661 33.4167019, -111.9271948 33.4166901, -111.9272923 33.4166614, -111.9273827 33.4166406, -111.9274785 33.4166304, -111.9275795 33.4166248, -111.9279495 33.4166251, -111.9284508 33.4166395, -111.9287595 33.4166413, -111.9289961 33.4166414, -111.9292821 33.4166416, -111.9294120 33.4166399)",a,1,0,,
South Normal Avenue,491,1125465309.0,86,136,1,173.83,1,24,1000.0,residential,6,"LINESTRING (-111.9332660 33.4160668, -111.9332661 33.4160150, -111.9332721 33.4159220, -111.9332636 33.4151942, -111.9332559 33.4151418, -111.9332413 33.4150997, -111.9332026 33.4150520, -111.9331283 33.4150215, -111.9330784 33.4150093, -111.9329104 33.4150107, -111.9328729 33.4150034, -111.9328365 33.4149747, -111.9328196 33.4149251, -111.9328110 33.4148640, -111.9328050 33.4147645)",a,1,0,,
South Normal Avenue,492,1125465309.0,136,86,1,173.83,1,24,1000.0,residential,6,"LINESTRING (-111.9328050 33.4147645, -111.9328110 33.4148640, -111.9328196 33.4149251, -111.9328365 33.4149747, -111.9328729 33.4150034, -111.9329104 33.4150107, -111.9330784 33.4150093, -111.9331283 33.4150215, -111.9332026 33.4150520, -111.9332413 33.4150997, -111.9332559 33.4151418, -111.9332636 33.4151942, -111.9332721 33.4159220, -111.9332661 33.4160150, -111.9332660 33.4160668)",a,1,0,,
South College Avenue,493,1143809349.0,76,40,1,36.0,1,40,1200.0,tertiary,5,"LINESTRING (-111.9349416 33.4254115, -111.9349497 33.4253927, -111.9349639 33.4253471, -111.9349716 33.4253130, -111.9349781 33.4252794, -111.9349826 33.4252468, -111.9349858 33.4250908)",a,1,0,,
South College Avenue,494,1143809349.0,40,76,1,36.0,2,40,1200.0,tertiary,5,"LINESTRING (-111.9349858 33.4250908, -111.9349826 33.4252468, -111.9349781 33.4252794, -111.9349716 33.4253130, -111.9349639 33.4253471, -111.9349497 33.4253927, -111.9349416 33.4254115)",a,1,0,,
West 5th Street,495,1143809352.0,128,307,1,20.54,1,48,1000.0,residential,6,"LINESTRING (-111.9400790 33.4255092, -111.9401510 33.4255092, -111.9403000 33.4255083)",a,1,0,,
West 5th Street,496,1143809352.0,307,128,1,20.54,2,48,1000.0,residential,6,"LINESTRING (-111.9403000 33.4255083, -111.9401510 33.4255092, -111.9400790 33.4255092)",a,1,0,,
East Veterans Way,497,1143809353.0,278,127,1,15.55,1,48,1200.0,tertiary,5,"LINESTRING (-111.9349155 33.4254719, -111.9350826 33.4254772)",a,0,0,,
East Veterans Way,498,1143809354.0,127,76,1,15.0,1,48,1200.0,tertiary,5,"LINESTRING (-111.9350826 33.4254772, -111.9349416 33.4254115)",a,0,0,,
South College Avenue,499,1143809355.0,278,76,1,7.12,1,40,1200.0,tertiary,5,"LINESTRING (-111.9349155 33.4254719, -111.9349416 33.4254115)",a,1,0,,
South College Avenue,500,1143809355.0,76,278,1,7.12,2,40,1200.0,tertiary,5,"LINESTRING (-111.9349416 33.4254115, -111.9349155 33.4254719)",a,1,0,,
East Veterans Way,501,1143809358.0,279,74,1,24.83,1,48,1200.0,tertiary,5,"LINESTRING (-111.9304264 33.4231132, -111.9303207 33.4230963, -111.9301640 33.4230713)",a,0,0,,
East 6th Street,502,1143809359.0,279,79,1,8.36,1,30,1000.0,residential,6,"LINESTRING (-111.9304264 33.4231132, -111.9304115 33.4231876)",a,1,0,,
East 6th Street,503,1143809359.0,79,279,1,8.36,1,30,1000.0,residential,6,"LINESTRING (-111.9304115 33.4231876, -111.9304264 33.4231132)",a,1,0,,
East Veterans Way,504,1143809360.0,74,79,1,26.38,1,48,1200.0,tertiary,5,"LINESTRING (-111.9301640 33.4230713, -111.9303044 33.4231372, -111.9304115 33.4231876)",a,0,0,,
East 6th Street,505,1143809361.0,79,3,1,55.28,1,30,1000.0,residential,6,"LINESTRING (-111.9304115 33.4231876, -111.9304034 33.4232275, -111.9303912 33.4232883, -111.9303126 33.4236793)",a,1,0,,
East 6th Street,506,1143809361.0,3,79,1,55.28,2,30,1000.0,residential,6,"LINESTRING (-111.9303126 33.4236793, -111.9303912 33.4232883, -111.9304034 33.4232275, -111.9304115 33.4231876)",a,1,0,,
South Terrace Road,507,1143816166.0,122,308,1,20.69,1,40,1200.0,tertiary,5,"LINESTRING (-111.9263055 33.4199832, -111.9262647 33.4199778, -111.9262223 33.4199693, -111.9261791 33.4199575, -111.9261357 33.4199392, -111.9261000 33.4199182)",a,0,0,,
East Rio Salado Parkway,508,1163940109.0,140,219,1,29.93,2,56,1600.0,secondary,4,"LINESTRING (-111.9388275 33.4298464, -111.9389533 33.4298031, -111.9390477 33.4297815, -111.9391348 33.4297705)",a,0,0,,
