name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East Alameda Drive,62,5560512,41,40,1,109.53,1,30,1000,residential,6,"LINESTRING (-111.9127316 33.3992751, -111.9116133 33.3995853)",a,1,0,,
East Alameda Drive,63,5560512,41,42,1,60.44,1,30,1000,residential,6,"LINESTRING (-111.9127316 33.3992751, -111.9129510 33.3992197, -111.9133634 33.3991494)",a,1,0,,
East Alameda Drive,64,5560512,42,41,1,60.44,1,30,1000,residential,6,"LINESTRING (-111.9133634 33.3991494, -111.9129510 33.3992197, -111.9127316 33.3992751)",a,1,0,,
East Alameda Drive,65,5560512,42,43,1,261.87,1,30,1000,residential,6,"LINESTRING (-111.9133634 33.3991494, -111.9134119 33.3991442, -111.9151689 33.3990133, -111.9156238 33.3990348, -111.9160643 33.3990933, -111.9161644 33.3991081)",a,1,0,,
East Alameda Drive,66,5560512,43,42,1,261.87,1,30,1000,residential,6,"LINESTRING (-111.9161644 33.3991081, -111.9160643 33.3990933, -111.9156238 33.3990348, -111.9151689 33.3990133, -111.9134119 33.3991442, -111.9133634 33.3991494)",a,1,0,,
East Alameda Drive,67,5560512,43,44,1,55.35,1,30,1000,residential,6,"LINESTRING (-111.9161644 33.3991081, -111.9162587 33.3991258, -111.9167437 33.3992226)",a,1,0,,
East Alameda Drive,68,5560512,44,43,1,55.35,1,30,1000,residential,6,"LINESTRING (-111.9167437 33.3992226, -111.9162587 33.3991258, -111.9161644 33.3991081)",a,1,0,,
East Alameda Drive,69,5560513,31,45,1,24.65,1,30,1000,residential,6,"LINESTRING (-111.9021891 33.4002169, -111.9021977 33.4004391)",a,1,0,,
East Alameda Drive,70,5560513,45,31,1,24.65,1,30,1000,residential,6,"LINESTRING (-111.9021977 33.4004391, -111.9021891 33.4002169)",a,1,0,,
East Alameda Drive,71,5560514,46,47,1,90.78,1,30,1000,residential,6,"LINESTRING (-111.8897970 33.4006460, -111.8888208 33.4006495)",a,1,0,,
East Alameda Drive,72,5560514,47,46,1,90.78,1,30,1000,residential,6,"LINESTRING (-111.8888208 33.4006495, -111.8897970 33.4006460)",a,1,0,,
East Alameda Drive,73,5560514,47,48,1,143.69,1,30,1000,residential,6,"LINESTRING (-111.8888208 33.4006495, -111.8872758 33.4006710)",a,1,0,,
East Alameda Drive,74,5560514,48,47,1,143.69,1,30,1000,residential,6,"LINESTRING (-111.8872758 33.4006710, -111.8888208 33.4006495)",a,1,0,,
East Alameda Drive,75,5560514,48,49,1,98.39,1,30,1000,residential,6,"LINESTRING (-111.8872758 33.4006710, -111.8866321 33.4006638, -111.8864862 33.4006782, -111.8863574 33.4007355, -111.8862802 33.4008143)",a,1,0,,
East Alameda Drive,76,5560514,49,48,1,98.39,1,30,1000,residential,6,"LINESTRING (-111.8862802 33.4008143, -111.8863574 33.4007355, -111.8864862 33.4006782, -111.8866321 33.4006638, -111.8872758 33.4006710)",a,1,0,,
East Alameda Drive,77,5560515,50,30,1,30.77,1,40,1000,residential,6,"LINESTRING (-111.9011792 33.4005112, -111.9011792 33.4002337)",a,1,0,,
East Alameda Drive,78,5560515,30,50,1,30.77,1,40,1000,residential,6,"LINESTRING (-111.9011792 33.4002337, -111.9011792 33.4005112)",a,1,0,,
East Alameda Drive,79,5560516,51,36,1,46.12,1,40,1000,residential,6,"LINESTRING (-111.9084449 33.4005639, -111.9084576 33.4001480)",a,1,0,,
East Alameda Drive,80,5560516,36,51,1,46.12,1,40,1000,residential,6,"LINESTRING (-111.9084576 33.4001480, -111.9084449 33.4005639)",a,1,0,,
East Alameda Drive,81,5560517,52,35,1,44.49,1,40,1000,residential,6,"LINESTRING (-111.9073825 33.4005537, -111.9073825 33.4001524)",a,1,0,,
East Alameda Drive,82,5560517,35,52,1,44.49,1,40,1000,residential,6,"LINESTRING (-111.9073825 33.4001524, -111.9073825 33.4005537)",a,1,0,,
East Alameda Drive,83,5560518,34,53,1,32.11,1,40,1000,residential,6,"LINESTRING (-111.9063213 33.4001518, -111.9063128 33.4004413)",a,1,0,,
East Alameda Drive,84,5560518,53,34,1,32.11,1,40,1000,residential,6,"LINESTRING (-111.9063128 33.4004413, -111.9063213 33.4001518)",a,1,0,,
East Alameda Drive,85,5560522,54,55,1,183.8,1,40,1200,tertiary,5,"LINESTRING (-111.9344308 33.4001595, -111.9342778 33.4001617, -111.9334443 33.4001738, -111.9332061 33.4001773, -111.9329143 33.4001815, -111.9324546 33.4001882)",a,1,0,,
East Alameda Drive,86,5560522,55,54,1,183.8,1,40,1200,tertiary,5,"LINESTRING (-111.9324546 33.4001882, -111.9329143 33.4001815, -111.9332061 33.4001773, -111.9334443 33.4001738, -111.9342778 33.4001617, -111.9344308 33.4001595)",a,1,0,,
East Alameda Drive,87,5560522,55,56,1,172.4,1,40,1200,tertiary,5,"LINESTRING (-111.9324546 33.4001882, -111.9306007 33.4002025)",a,1,0,,
East Alameda Drive,88,5560522,56,55,1,172.4,1,40,1200,tertiary,5,"LINESTRING (-111.9306007 33.4002025, -111.9324546 33.4001882)",a,1,0,,
East Alameda Drive,89,5560522,56,57,1,220.37,1,40,1200,tertiary,5,"LINESTRING (-111.9306007 33.4002025, -111.9282310 33.4002179)",a,1,0,,
East Alameda Drive,90,5560522,57,56,1,220.37,1,40,1200,tertiary,5,"LINESTRING (-111.9282310 33.4002179, -111.9306007 33.4002025)",a,1,0,,
East Alameda Drive,91,5560522,57,58,1,81.35,1,40,1200,tertiary,5,"LINESTRING (-111.9282310 33.4002179, -111.9278062 33.4002240, -111.9273563 33.4002240)",a,1,0,,
East Alameda Drive,92,5560522,58,57,1,81.35,1,40,1200,tertiary,5,"LINESTRING (-111.9273563 33.4002240, -111.9278062 33.4002240, -111.9282310 33.4002179)",a,1,0,,
East Alameda Drive,93,5560522,58,59,1,51.37,1,40,1200,tertiary,5,"LINESTRING (-111.9273563 33.4002240, -111.9268922 33.4002273, -111.9268039 33.4002279)",a,1,0,,
East Alameda Drive,94,5560522,59,58,1,51.37,1,40,1200,tertiary,5,"LINESTRING (-111.9268039 33.4002279, -111.9268922 33.4002273, -111.9273563 33.4002240)",a,1,0,,
Alameda Drive,95,5560524,60,61,1,36.75,1,30,1000,residential,6,"LINESTRING (-111.9050645 33.4011258, -111.9050555 33.4014572)",a,1,0,,
Alameda Drive,96,5560524,61,60,1,36.75,1,30,1000,residential,6,"LINESTRING (-111.9050555 33.4014572, -111.9050645 33.4011258)",a,1,0,,
West Mirage Drive,97,5560552,62,63,1,55.87,1,30,1000,residential,6,"LINESTRING (-111.9734513 33.3918302, -111.9740521 33.3918302)",a,1,0,,
West Mirage Drive,98,5560552,63,62,1,55.87,1,30,1000,residential,6,"LINESTRING (-111.9740521 33.3918302, -111.9734513 33.3918302)",a,1,0,,
West Mirage Drive,99,5560552,63,64,1,131.51,1,30,1000,residential,6,"LINESTRING (-111.9740521 33.3918302, -111.9754662 33.3918311)",a,1,0,,
West Mirage Drive,100,5560552,64,63,1,131.51,1,30,1000,residential,6,"LINESTRING (-111.9754662 33.3918311, -111.9740521 33.3918302)",a,1,0,,
West Mirage Drive,101,5560552,64,65,1,159.36,1,30,1000,residential,6,"LINESTRING (-111.9754662 33.3918311, -111.9759747 33.3918230, -111.9759404 33.3908126)",a,1,0,,
West Mirage Drive,102,5560552,65,64,1,159.36,1,30,1000,residential,6,"LINESTRING (-111.9759404 33.3908126, -111.9759747 33.3918230, -111.9754662 33.3918311)",a,1,0,,
,103,5561308,66,67,1,913.03,1,120,2300,motorway,1,"LINESTRING (-111.9678428 33.3922814, -111.9679425 33.3916617, -111.9680631 33.3906266, -111.9681489 33.3902110, -111.9682631 33.3899066, -111.9683834 33.3896201, -111.9686296 33.3891002, -111.9687840 33.3887060, -111.9688882 33.3884239, -111.9689376 33.3881622, -111.9689557 33.3879177, -111.9689483 33.3876428, -111.9689225 33.3873991, -111.9688355 33.3870505, -111.9686553 33.3865195, -111.9685020 33.3860760, -111.9683807 33.3856674, -111.9683481 33.3855194, -111.9683023 33.3852986, -111.9682631 33.3849713, -111.9682525 33.3845905, -111.9682176 33.3842412)",a,0,1,,
