name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3577,5137421118,,,,,,,-111.9783804,33.4241052,,,
,3578,319990476,,,,,,,-111.9622925,33.3453788,,,
,3579,252358781,,,,,,,-111.9615465,33.3445528,,,
,3580,9859719895,,,,,,,-111.9549198,33.3433806,,,
,3581,252358799,,,,,,,-111.9578375,33.3435515,,,
,3582,41941469,,,,,,,-111.9199021,33.3612705,,,
,3583,42375999,,,,,,,-111.9177906,33.3606898,,,
,3584,42376003,,,,,,,-111.9157326,33.3607322,,,
,3585,42376031,turning_circle,,,,,,-111.9179194,33.3605106,,,
,3586,41638594,,,,,,,-111.9112395,33.3604748,,,
,3587,41573884,,,,,,,-111.9285775,33.3600928,,,
,3588,42376125,turning_circle,,,,,,-111.9065597,33.3611004,,,
,3589,42376139,turning_circle,,,,,,-111.9055535,33.3608975,,,
,3590,42376140,,,,,,,-111.9051028,33.3608471,,,
,3591,42376145,,,,,,,-111.9033476,33.3608688,,,
,3592,42376147,turning_circle,,,,,,-111.9024207,33.3608545,,,
,3593,42376156,turning_circle,,,,,,-111.9011504,33.3605534,,,
,3594,42376169,,,,,,,-111.9033038,33.3600138,,,
,3595,42376171,turning_circle,,,,,,-111.9023863,33.3599942,,,
,3596,41638639,,,,,,,-111.9111685,33.328722,,,
,3597,42376199,,,,,,,-111.9149021,33.3287417,,,
,3598,42386965,,,,,,,-111.9459668,33.3742,,,
,3599,42001960,,,,,,,-111.9540381,33.3744749,,,
,3600,3983483499,,,,,,,-111.939166,33.4147167,,,
,3601,320989810,,,,,,,-111.9080393,33.3612721,,,
,3602,5757680607,,,,,,,-111.9079851,33.3613419,,,
,3603,42388132,,,,,,,-111.9066264,33.3619656,,,
,3604,320989524,,,,,,,-111.9058223,33.3618177,,,
,3605,42388140,,,,,,,-111.9049633,33.3616267,,,
,3606,42388158,,,,,,,-111.9009015,33.3614781,,,
,3607,42388165,,,,,,,-111.8999207,33.3612234,,,
,3608,320988542,turning_circle,,,,,,-111.89879,33.360962,,,
,3609,42002035,,,,,,,-111.9545658,33.3649936,,,
,3610,41586189,,,,,,,-111.977657,33.3868997,,,
,3611,42395937,,,,,,,-111.9777257,33.3888633,,,
,3612,42396890,turning_circle,,,,,,-111.9034653,33.3824733,,,
,3613,42023948,,,,,,,-111.900597,33.382446,,,
,3614,42396904,turning_circle,,,,,,-111.956024,33.3923387,,,
,3615,42001870,,,,,,,-111.9519808,33.3922064,,,
,3616,42396918,,,,,,,-111.9584444,33.3919661,,,
,3617,42396922,,,,,,,-111.9478319,33.3918872,,,
,3618,42397738,,,,,,,-111.9472745,33.4182992,,,
,3619,42001796,,,,,,,-111.9521978,33.4182867,,,
,3620,42305883,,,,,,,-111.9695347,33.4178998,,,
,3621,42397742,,,,,,,-111.9717501,33.4178915,,,
,3622,42397747,,,,,,,-111.9776921,33.4175525,,,
,3623,41884217,,,,,,,-111.9608585,33.4176195,,,
,3624,42305887,,,,,,,-111.9695271,33.4175262,,,
,3625,42397753,,,,,,,-111.9564977,33.4180462,,,
,3626,41884220,,,,,,,-111.960859,33.4180588,,,
,3627,42397808,,,,,,,-111.9364341,33.3476436,,,
,3628,42397811,,,,,,,-111.9364856,33.3469912,,,
,3629,42397814,turning_circle,,,,,,-111.9364083,33.345299,,,
,3630,42397831,,,,,,,-111.9382035,33.3882163,,,
,3631,42397848,,,,,,,-111.9390979,33.4021157,,,
,3632,42397858,turning_circle,,,,,,-111.9380875,33.3814489,,,
,3633,42397869,turning_circle,,,,,,-111.9356788,33.3443813,,,
,3634,41941394,,,,,,,-111.919178,33.3746317,,,
,3635,5078563652,,,,,,,-111.9190664,33.3746247,,,
