name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,20007,100607097,,,0,,,,-81.5534295,27.6782974,,
,20008,100607883,,,0,,,,-81.6919804,28.0023349,,
,20009,100607894,,,0,,,,-81.6932225,28.0029527,,
,20010,100608135,traffic_signals,,1,,,,-81.7231448,28.0040677,,
,20011,100608143,,,0,,,,-81.7246908,28.0040659,,
,20012,100611872,,,0,,,,-81.9510152,27.9530445,,
,20013,100611888,,,0,,,,-81.9312423,27.9529721,,
,20014,100615439,,,0,,,,-86.809044,30.692608,,
,20015,100623128,,,0,,,,-87.02698,30.628183,,
,20016,100625520,,,0,,,,-81.9266755,28.0499814,,
,20017,100628820,traffic_signals,,1,,,,-86.947806,30.402263,,
,20018,100628866,,,0,,,,-86.8652888,30.4014322,,
,20019,100628974,,,0,,,,-86.799388,30.409679,,
,20020,100629089,,,0,,,,-86.8674215,30.4016034,,
,20021,100629148,traffic_signals,,1,,,,-86.947796,30.402409,,
,20022,100634017,,,0,,,,-81.730831,28.0049764,,
,20023,100636224,,,0,,,,-81.954219,28.056205,,
,20024,100645698,,,0,,,,-81.5872313,27.7554314,,
,20025,100646530,,,0,,,,-87.0195753,30.6241796,,
,20026,100646570,,,0,,,,-87.0259374,30.628065,,
,20027,100646605,,,0,,,,-87.034485,30.624373,,
,20028,100646893,,,0,,,,-87.0431137,30.6216871,,
,20029,100647953,traffic_signals,,1,,,,-87.1702845,30.3657113,,
,20030,100647992,traffic_signals,,1,,,,-87.1165198,30.3758076,,
,20031,100667549,,,0,,,,-81.201785,27.8049565,,
,20032,100667674,,,0,,,,-81.5322434,27.8943524,,
,20033,100667889,,,0,,,,-81.5815782,27.8942059,,
,20034,100668067,,,0,,,,-81.5322505,27.8942444,,
,20035,100671502,traffic_signals,,1,,,,-87.1701093,30.3657678,,
,20036,100674372,,,0,,,,-87.1776011,30.373849,,
,20037,100674390,,,0,,,,-87.1757224,30.3703362,,
,20038,100674419,,,0,,,,-87.1706171,30.3662084,,
,20039,100674581,,,0,,,,-87.075501,30.388433,,
,20040,100674593,,,0,,,,-87.04337,30.393221,,
,20041,100674800,,,0,,,,-87.1621577,30.357496,,
,20042,100674905,,,0,,,,-87.104214,30.384206,,
,20043,100674909,,,0,,,,-87.102836,30.384513,,
,20057,100686222,,,0,,,,-82.3955079,27.0498319,,
,20066,100689175,,,0,,,,-81.2889015,28.8115166,,
,20068,100692376,,,0,,,,-81.2081548,28.6469009,,
,20069,100692784,,,0,,,,-81.2247916,28.6572284,,
,20070,100694207,,,0,,,,-81.3611966,28.756147,,
,20074,100695909,,,0,,,,-81.3369639,28.8114185,,
,20075,100696198,traffic_signals,,1,,,,-82.5302213,27.32761,,
,20076,100696521,,,0,,,,-81.2788442,28.6294389,,
,20077,100696591,,,0,,,,-81.2514133,28.6187625,,
,20079,100697285,,,0,,,,-81.2699521,28.6169535,,
,20080,100697968,,,0,,,,-82.5467819,27.3376791,,
,20081,100698859,traffic_signals,,1,,,,-82.5524221,27.3818431,,
,20083,100698927,,,0,,,,-82.4058033,27.049909,,
,20084,100698978,,,0,,,,-82.4625359,27.1491456,,
,20085,100698989,,,0,,,,-82.4630894,27.1485171,,
,20086,100698993,,,0,,,,-82.4636089,27.1488014,,
,20087,100700720,traffic_signals,,1,,,,-82.4237723,27.0724898,,376
,20088,100701040,traffic_signals,,1,,,,-81.2561868,28.7867404,,
,20089,100702836,traffic_signals,,1,,,,-81.3463912,28.6977631,,
,20090,100702844,traffic_signals,,1,,,,-81.3381087,28.6978551,,
,20091,100703011,traffic_signals,,1,,,,-81.3227771,28.8117021,,
,20092,100703616,,,0,,,,-81.3775153,28.6970147,,
,20100,100708157,traffic_signals,,1,,,,-81.3630464,28.8119527,,
,20101,100708467,,,0,,,,-82.4607779,27.1533322,,
,20102,100708509,,,0,,,,-82.4651455,27.1508563,,
,20103,100709139,,,0,,,,-82.1554907,27.0997421,,
,20107,100709802,traffic_signals,,1,,,,-81.2084779,28.6770588,,
,20110,100712277,,,0,,,,-81.2087421,28.6884115,,
,20111,100717330,traffic_signals,,1,,,,-81.3470734,28.756058,,
,20112,100717738,,,0,,,,-81.2778935,28.8116677,,
,20113,100717863,,,0,,,,-82.2973951,27.0427006,,
,20114,100718734,,,0,,,,-81.2080075,28.6290053,,
,20115,100718740,,,0,,,,-81.2079392,28.6241862,,
,20116,100718972,traffic_signals,,1,,,,-81.2913718,28.7034066,,632
,20120,100720431,,,0,,,,-82.3170355,27.0488237,,
,20121,100720433,,,0,,,,-82.3170385,27.0486441,,
,20123,100722365,traffic_signals,,1,,,,-81.3342206,28.8114854,,
,20124,100723559,,,0,,,,-81.2665305,28.6431811,,
,20125,100723581,traffic_signals,,1,,,,-81.2753474,28.6625769,,674
,20128,100725849,traffic_signals,,1,,,,-82.5315484,27.3886595,,
,20129,100725858,traffic_signals,,1,,,,-82.5318088,27.3886917,,
,20130,100726090,traffic_signals,,1,,,,-81.3054759,28.6987064,,
,20131,100726399,traffic_signals,,1,,,,-82.299985,27.0416934,,
,20132,100726403,traffic_signals,,1,,,,-82.3001125,27.0418404,,
,20133,100727764,traffic_signals,,1,,,,-81.2492601,28.6194452,,
,20134,100728240,,,0,,,,-82.4904922,27.2183192,,
,20135,100728282,,,0,,,,-81.356316,28.6977739,,
,20136,100729023,,,0,,,,-81.2287407,28.7867904,,
,20137,100729193,,,0,,,,-81.3578481,28.8113621,,
,20138,100733216,traffic_signals,,1,,,,-81.2678459,28.7866762,,
,20139,100733372,traffic_signals,,1,,,,-82.533798,27.3286839,,
,20140,100733375,traffic_signals,,1,,,,-82.533788,27.3285564,,
,20141,100734992,traffic_signals,,1,,,,-82.4582884,27.138368,,
,20142,100736672,,,0,,,,-81.3145269,28.8117066,,
,20143,100740024,traffic_signals,,1,,,,-82.4863317,27.3373964,,
,20144,100740234,,,0,,,,-82.4536696,27.1288139,,
,20145,100740404,traffic_signals,,1,,,,-81.2731024,28.7939678,,
,20146,100741465,,,0,,,,-81.2365576,28.6351991,,
,20147,100741757,,,0,,,,-82.356269,26.976975,,
,20148,100742257,traffic_signals,,1,,,,-81.2730351,28.7866778,,
,20149,100742395,,,0,,,,-81.2084024,28.6702921,,
,20150,100743301,traffic_signals,,1,,,,-82.3583898,27.0495256,,774
,20151,100744263,,,0,,,,-81.4190827,28.6691208,,
,20152,100744278,traffic_signals,,1,,,,-81.4189993,28.6800457,,
,20153,100744280,traffic_signals,,1,,,,-81.4189856,28.6828109,,
,20154,100745617,traffic_signals,,1,,,,-81.2081933,28.6492995,,
,20155,100746682,traffic_signals,,1,,,,-81.222695,28.7868358,,
,20156,100747447,,,0,,,,-81.3078018,28.6770231,,
,20157,100748280,traffic_signals,,1,,,,-81.11515,28.7333873,,
,20158,100750453,,,0,,,,-82.530982,27.3763299,,
,20159,100751066,,,0,,,,-81.3600149,28.6978216,,
,20160,100752215,traffic_signals,,1,,,,-82.4164465,27.062002,,
,20161,100753641,traffic_signals,,1,,,,-81.3621855,28.6977902,,
,20162,100753647,,,0,,,,-81.3504312,28.6977658,,
,20163,100753665,,,0,,,,-81.3845627,28.6929553,,
,20164,100753730,traffic_signals,,1,,,,-81.4064717,28.6877514,,
,20165,100754486,traffic_signals,,1,,,,-82.4523794,27.3382309,,
,20166,100756184,,,0,,,,-82.5561436,27.3867335,,
,20167,100760649,,,0,,,,-81.2533974,28.618864,,
,20168,100760684,traffic_signals,,1,,,,-81.2448423,28.626162,,
,20169,100760688,,,0,,,,-81.2405945,28.6309579,,
,20170,100761386,traffic_signals,,1,,,,-82.4638188,27.3881572,,
,20171,100763465,,,0,,,,-81.1811408,28.7858663,,
,20172,100766319,,,0,,,,-82.4948397,27.3373904,,
,20173,100766399,,,0,,,,-82.4877207,27.1905941,,
,20174,100767356,traffic_signals,,1,,,,-82.3844606,27.1058961,,
,20175,100769087,traffic_signals,,1,,,,-82.5297472,27.3229005,,
,20176,100769948,traffic_signals,,1,,,,-82.5305604,27.2988448,,
,20177,100770589,traffic_signals,,1,,,,-82.5305359,27.3522298,,
,20178,100774769,traffic_signals,,1,,,,-82.2360663,27.0435831,,
,20179,100774771,traffic_signals,,1,,,,-82.2360111,27.043754,,
,20180,100777639,,,0,,,,-82.4764865,27.3378623,,
,20181,100777880,,,0,,,,-81.1163379,28.7344516,,
,20182,100778051,,,0,,,,-81.2082417,28.6575775,,
,20183,100778643,,,0,,,,-82.5496756,27.3605992,,
,20184,100778791,traffic_signals,,1,,,,-82.353031,26.962089,,
,20185,100779489,,,0,,,,-81.2392,28.7566789,,
,20186,100779512,,,0,,,,-82.5593238,27.3890378,,
,20187,100780625,traffic_signals,,1,,,,-81.2731772,28.8117056,,
,20188,100781942,,,0,,,,-81.300979,28.6992958,,
,20189,100781943,,,0,,,,-81.298637,28.7002405,,
,20190,100782757,,,0,,,,-81.3195161,28.6978685,,
,20191,100782769,traffic_signals,,1,,,,-81.3133441,28.6980101,,
,20192,100783619,traffic_signals,,1,,,,-81.2691448,28.7599696,,
,20193,100783621,traffic_signals,,1,,,,-81.2706737,28.7599634,,
,20194,100787655,traffic_signals,,1,,,,-81.2647909,28.7866839,,
,20195,100789430,,,0,,,,-81.2327895,28.7867794,,
,20196,100789448,traffic_signals,,1,,,,-81.2126637,28.7869915,,446
,20197,100790284,traffic_signals,,1,,,,-82.5447101,27.3342689,,
,20198,100791086,,,0,,,,-81.3268877,28.8117208,,
,20199,100791614,traffic_signals,,1,,,,-82.5260088,27.3376832,,
,20200,100791889,,,0,,,,-81.3236366,28.833916,,
,20201,100792694,,,0,,,,-81.2235085,28.6693189,,
,20202,100796054,,,0,,,,-81.2245071,28.6660831,,
,20203,100796065,traffic_signals,,1,,,,-81.2209288,28.6702708,,
,20204,100796070,traffic_signals,,1,,,,-81.2125724,28.6702762,,
,20205,100796074,,,0,,,,-82.5309796,27.3302109,,
,20206,100796105,traffic_signals,,1,,,,-82.530984,27.3314045,,
,20207,100796115,traffic_signals,,1,,,,-82.5309994,27.3356032,,
,20208,100796117,traffic_signals,,1,,,,-82.5310026,27.3364739,,
,20209,100799024,,,0,,,,-81.3268979,28.8114854,,
,20210,100799685,traffic_signals,,1,,,,-81.3576129,28.7561666,,634
,20211,100802194,,,0,,,,-82.4808905,27.177222,,
,20212,100803228,traffic_signals,,1,,,,-82.2197709,27.0380576,,
,20213,100803525,,,0,,,,-81.2787154,28.6412559,,
,20214,100803528,,,0,,,,-81.2787838,28.6414857,,
,20215,100803537,,,0,,,,-81.2792289,28.6434653,,
,20216,100803968,traffic_signals,,1,,,,-82.4602685,27.1420682,,
,20217,100803969,traffic_signals,,1,,,,-82.4604772,27.1420184,,
,20218,100803971,,,0,,,,-82.4609441,27.1420307,,
,20219,100806712,traffic_signals,,1,,,,-81.298004,28.8112263,,
,20220,100807475,,,0,,,,-82.4103989,27.0536551,,
,20221,100809511,traffic_signals,,1,,,,-82.5490531,27.3598946,,
,20222,100809803,traffic_signals,,1,,,,-82.5139663,27.3374655,,
,20223,100811002,,,0,,,,-82.4599588,27.1421793,,
,20224,100811079,,,0,,,,-82.5469105,27.3544368,,
,20225,100811458,,,0,,,,-82.4505739,27.1174465,,
,20226,100812298,traffic_signals,,1,,,,-82.1568492,27.0685253,,1215
,20227,100812371,traffic_signals,,1,,,,-82.1555508,27.0938806,,
,20228,100813768,traffic_signals,,1,,,,-82.435369,27.0998784,,
,20229,100813770,traffic_signals,,1,,,,-82.433782,27.099728,,88
,20230,100813772,traffic_signals,,1,,,,-82.4335948,27.0997286,,88
,20231,100813793,traffic_signals,,1,,,,-82.4130087,27.0997941,,1232
,20232,100813977,,,0,,,,-82.4423761,27.0998627,,
,20233,100814287,traffic_signals,,1,,,,-82.4976279,27.2333326,,
,20234,100814289,traffic_signals,,1,,,,-82.4975798,27.2330289,,
